;Труба асбестоцементная безнапорная БНТ 100 (3,95) ГОСТ;шт.;;812;;1;тр;ац;;00-00000262;;;бух;486,89;;;;;;Труба асбестоцементная безнапорная БНТ 100 (3,95) ГОСТ;;;;;;;;;;;;
;Труба асбестноцементная безнапорная БНТ 150 (3,95м) ГОСТ;шт.;;1 072;;1;тр;ац;;00-00000263;;;бух;812;;;;;;Труба асбестноцементная безнапорная БНТ 150 (3,95м) ГОСТ;;;;;;;;;;;;
;Муфта асбестоцементная БНМ-100;шт.;;63;;1;м;ац;;00-00000264;;;бух;48;;;;;;Муфта асбестоцементная БНМ-100;;;;;;;;;;;;
;Муфта асбестоцементная БНМ-150;шт.;;165;;1;м;ац;;00-00000265;;;материал;115,5;;;;;;Муфта асбестоцементная БНМ-150;;;;;;;;;;;;
В;Розетка о/у с заземлением с крышкой влагозащищённая (IP 44);шт.;;289;;1;;;;00-00000266;;;бух;86,6;;;;;;Розетка о/у с заземлением с крышкой влагозащищённая (IP 44);;;;;;;;;;;;
В;PLITONIT Гидроизоляция АкваБарьер ГидроСтоп 2 кг;шт.;;216;;1;;;;00-00000268;;;закупка;169;;;;;;PLITONIT Гидроизоляция АкваБарьер ГидроСтоп 2 кг;;;;;;;;;;;;
В;Муфта термоусадочная;шт.;;815;;1;м;;;00-00000269;;;материал;570,5;;;;;;Муфта термоусадочная;;;;;;;;;;;;
НВ;Клапан автоматический сливной;шт.;;2 268;;1;;;;00-00000270;;;закупка;750;;;;;;Клапан автоматический сливной;;;;;;;;;;;;
НВ;Трос нержавеющий 3мм;м;;41;;1;;;;00-00000272;;;закупка;19,2;;;;;;Трос нержавеющий 3мм;;;;;;;;;;;;
НВ;Реле сухого хода Belamos;шт.;;562;;1;;;;00-00000273;;;закупка;340;;;;;;Реле сухого хода Belamos;;;;;;;;;;;;
В;Гидроаккумулятор 50л вертик;шт.;;3 519;;1;;;;00-00000275;;;бух;2033,75;;;;;;Гидроаккумулятор 50л вертик;;;;;;;;;;;;
В;Насос скважинный Belamos tf3 -60;шт.;;10 369;;1;;;;00-00000276;;;закупка;7976;;;;;;Насос скважинный Belamos tf3 -60;;;;;;;;;;;;
В;Муфта компрессионная латунная 32;шт.;;789;;1;м;пнд;латун;00-00000277;;;закупка;345;;;;;;Муфта компрессионная латунная 32;;;;;;;;;;;;
В;Муфта компрессионная латунная 32 ПНД / 1'' нар.;шт.;;463;;1;м;пнд;латун;00-00000278;;;закупка;215;;;;;;Муфта компрессионная латунная 32 ПНД / 1'' нар.;;;;;;;;;;;;
НК;Дренажный насос 400вт для грязной воды;шт.;;3 500;;1;;;;00-00000285;;;насос дренажный;1500;;;;;;Дренажный насос 400вт для грязной воды;;;;;;;;;;;;
;Зажим троса 3мм.;шт.;;83;;1;;;;00-00000287;;;закупка;30,6;;;;;;Зажим троса 3мм.;;;;;;;;;;;;
НВ;Фильтр магистральный для холодной воды без картриджа;шт.;;1 315;;1;;;;00-00000288;;;закупка;630;;;;;;Фильтр магистральный для холодной воды без картриджа;;;;;;;;;;;;
НВ;"Картридж из вспененного полипропилена 10""";шт.;;109;;1;;;;00-00000289;;;закупка;40;;;;;;"Картридж из вспененного полипропилена 10""";;;;;;;;;;;;
;Анкер 6 PFG с крюком;шт.;;146;;1;;;;00-00000291;;;бух;94,15;;;;;;Анкер 6 PFG с крюком;;;;;;;;;;;;
НВ;Седелка на трубу ПНД 32мм х 1/2'' ВР;шт.;;156;;1;;пнд*р;;00-00000292;;;закупка;38;;;;;;Седелка на трубу ПНД 32мм х 1/2'' ВР;;;;;;;;;;;;
В;Болт сантехнический 6х50;шт.;;8;;1;;;;00-00000293;;;бух;3,28;;;;;;Болт сантехнический 6х50;;;;;;;;;;;;
В;"Муфта ПНД компрессионная 25х1"" ВР";шт.;;54;;1;м;пнд;;00-00000294;;;стоимость;48;;;;;;"Муфта ПНД компрессионная 25х1"" ВР";;;;;;;;;;;;
В;Угол ПНД компрессионный 25х25;шт.;;93;;1;У;пнд;;00-00000295;;;бух;79,2;;;;;;Угол ПНД компрессионный 25х25;;;;;;;;;;;;
В;Угол ПНД компрессионный 32х32;шт.;;102;;1;У;пнд;;00-00000296;;;бух;86;;;;;;Угол ПНД компрессионный 32х32;;;;;;;;;;;;
НВ;"Гибкая подводка 1"" ВР-ВР 100см";шт.;;1 069;;1;;;;00-00000297;;;материал;748,3;;;;;;"Гибкая подводка 1"" ВР-ВР 100см";;;;;;;;;;;;
НВ;Крышка на скважину с разъемами;шт.;;4 650;;1;;;;00-00000298;;;закупка;3906;;;;;;Крышка на скважину с разъемами;;;;;;;;;;;;
В;Угол компрессионный переходной 90° 32 ПНД / 3/4 ВР;шт.;;98;;1;У;пнд;;00-00000299;;;бух;83;;;;;;Угол компрессионный переходной 90° 32 ПНД / 3/4 ВР;;;;;;;;;;;;
НВ;"Кран шаровой 3/4"" НР угловой со штуцуром";шт.;;419;;1;кш;р;шт;00-00000302;;;бух;278,05;;;;;;"Кран шаровой 3/4"" НР угловой со штуцуром";;;;;;;;;;;;
НК;Теплоизоляция для труб 114х13х2000 мм Стенофлекс;шт.;;290;;1;;;;00-00000308;;;закупка;233;;;;;;Теплоизоляция для труб 114х13х2000 мм Стенофлекс;;;;;;;;;;;;
В;Хомут червячный 25-35мм;шт.;;62;;1;;;;00-00000309;;;бух;9,42;;;;;;Хомут червячный 25-35мм;;;;;;;;;;;;
;Лента ременная 50мм;м;20;30;600;1;;;;00-00000311;;;бух;14,55;;;;;;Лента ременная 50мм;;;;;;;;;;;;
;Колодец дренажный смотровой с тремя отводами 110мм и крышкой;шт.;;3 280;;1;;;;00-00000314;;;материал;2296;;;;;;Колодец дренажный смотровой с тремя отводами 110мм и крышкой;;;;;;;;;;;;
;Греющий кабель Lavita 16 Вт/м c оплеткой;м;;262;;1;;;;00-00000319;;;закупка;170;;;;;;Греющий кабель Lavita 16 Вт/м c оплеткой;;;;;;;;;;;;
НК;Шланг армированный 1';м;;287;;1;;;;00-00000320;;;бух;77,4;;;;;;Шланг армированный 1';;;;;;;;;;;;
В;Насос скважинный Belamos tf3 80;шт.;;14 105;;1;;;;00-00000323;;;закупка;10850;;;;;;Насос скважинный Belamos tf3 80;;;;;;;;;;;;
К;Тройник внутренний 110 мм, 45° двухраструбный ;шт.;;160;;1;т;к;;00-00000328;;;закупка;61,2;;;;;;Тройник внутренний 110 мм, 45° двухраструбный ;;;;;;;;;;;;
К;Отвод внутренний 110 мм. 30° однораструбный;шт.;;103;;1;о;к;;00-00000329;;;бух;34,15;;;;;;Отвод внутренний 110 мм. 30° однораструбный;;;;;;;;;;;;
;Автомат 10А;шт.;;344;;1;;;;00-00000330;;;бух;98;;;;;;Автомат 10А;;;;;;;;;;;;
;"Гибкая подводка 1"" ВР-ВР 60 см";шт.;1;969;969;1;;;;00-00000333;;;закупка;650;;;;;;"Гибкая подводка 1"" ВР-ВР 60 см";;;;;;;;;;;;
;Саморезы (шурупы) по дереву 4х40 мм (24 шт.);упак.;;78;;1;;;;00-00000334;;;материал;54,6;;;;;;Саморезы (шурупы) по дереву 4х40 мм (24 шт.);;;;;;;;;;;;
;Цемент 50 кг;шт.;;350;;1;;;;00-00000335;;;бух;289,76;;;;;;Цемент 50 кг;;;;;;;;;;;;
;Станция Астра 3 П 600                                       со скидкой;шт.;1;75 000;75 000;1;станция;;;00-00000336;;;Астра;48750;;;;;;Станция Астра 3 П 600                                       со скидкой;;;;;;;;;;;;
;Станция Астра 4 С 850                                       со скидкой;шт.;1;78 900;78 900;1;станция;;;00-00000337;;;Астра;51285;;;;;;Станция Астра 4 С 850                                       со скидкой;;;;;;;;;;;;
;Станция Астра 5 С 850                                       со скидкой;шт.;1;89 500;89 500;1;станция;;;00-00000338;;;Астра;58175;;;;;;Станция Астра 5 С 850                                       со скидкой;;;;;;;;;;;;
;Станция Астра 5 П 850                                       со скидкой;шт.;1;91 500;91 500;1;станция;;;00-00000339;;;Астра;59475;;;;;;Станция Астра 5 П 850                                       со скидкой;;;;;;;;;;;;
;Станция Астра 5 С 1000                                       со скидкой;шт.;1;91 700;91 700;1;станция;;;00-00000340;;;Астра;59605;;;;;;Станция Астра 5 С 1000                                       со скидкой;;;;;;;;;;;;
;Станция Астра 5 П 1000                                       со скидкой;шт.;1;93 700;93 700;1;станция;;;00-00000341;;;Астра;60905;;;;;;Станция Астра 5 П 1000                                       со скидкой;;;;;;;;;;;;
;Станция Астра 5 С 1500                                       со скидкой;шт.;1;114 100;114 100;1;станция;;;00-00000342;;;Астра;74165;;;;;;Станция Астра 5 С 1500                                       со скидкой;;;;;;;;;;;;
;Станция Астра 5 П 1500                                       со скидкой;шт.;1;116 100;116 100;1;станция;;;00-00000343;;;Астра;75465;;;;;;Станция Астра 5 П 1500                                       со скидкой;;;;;;;;;;;;
;Станция Астра 6 С 850                                       со скидкой;шт.;1;95 200;95 200;1;станция;;;00-00000344;;;Астра;61880;;;;;;Станция Астра 6 С 850                                       со скидкой;;;;;;;;;;;;
;Станция Астра 6 С 1000                                       со скидкой;шт.;1;97 500;97 500;1;станция;;;00-00000345;;;Астра;63375;;;;;;Станция Астра 6 С 1000                                       со скидкой;;;;;;;;;;;;
;Станция Астра 6 С 1500                                       со скидкой;шт.;1;114 800;114 800;1;станция;;;00-00000346;;;Астра;74620;;;;;;Станция Астра 6 С 1500                                       со скидкой;;;;;;;;;;;;
