
00-00000409;Станция Топас 8 С 1400                                       со скидкой;шт.;1;146100;131490;Топас;;8;;С;1400;Топас;102270;21000;8500;13500;;1,6;1,2;3,1;5;3,3;4,608;9,888;;;;;10,56;15,84;800;
00-00000410;Станция Топас 8 П 1400                                       со скидкой;шт.;1;160700;144630;Топас;;8;;П;1400;Топас;112490;21000;8500;13500;;1,6;1,5;3,1;6;4,1;5,1;10,776;;;;;12,54;18,216;800;
00-00000411;Станция Топас 9 С 800                                       со скидкой;шт.;1;131700;118530;Топас;;9;;С;800;Топас;92190;19500;9500;14500;;1,6;1,2;2,55;5;3,4;3,904;8,304;;;;;8,8;13,2;500;
00-00000412;Станция Топас 9 П 800                                       со скидкой;шт.;1;142100;127890;Топас;;9;;П;800;Топас;99470;19500;9500;14500;;1,6;1,2;2,6;5;3,5;3,968;8,448;;;;;8,96;13,44;500;
00-00000413;Станция Топас 9 С 1400                                       со скидкой;шт.;1;150700;135630;Топас;;9;;С;1400;Топас;105490;22500;9500;14500;;1,6;1,2;3,1;5;3,3;4,608;9,888;;;;;10,56;15,84;800;
00-00000414;Станция Топас 9 П 1400                                       со скидкой;шт.;1;163300;146970;Топас;;9;;П;1400;Топас;114310;22500;9500;14500;;1,5;1,2;3,1;5;3,1;4,452;9,6;;;;;10,032;15,18;800;
00-00000415;Станция Топас 9 С 1400 Ус                                      со скидкой;шт.;1;172100;154890;Топас;;9;;С;1400;Топас;120470;22500;9500;14500;;1,8;1,4;3,1;6;4,3;5,256;11,064;;;;;13,068;18,876;800;
00-00000416;Станция Топас 9 П 1400 Ус                                      со скидкой;шт.;1;183900;165510;Топас;;9;;П;1400;Топас;128730;22500;9500;14500;;1,7;1,35;3,1;6;3,9;5,013;10,623;;;;;12,1275;17,7375;800;
00-00000417;Станция Топас 10 С 800                                       со скидкой;шт.;1;168600;151740;Топас;;10;;С;800;Топас;118020;21000;9500;14500;;2,1;1,2;2,5;6;4,3;4,5;9,36;;;;;10,8;15,66;500;
00-00000418;Станция Топас 10 П 800                                       со скидкой;шт.;1;179500;161550;Топас;;10;;П;800;Топас;125650;21000;9500;14500;;2,1;1,2;2,6;6;4,5;4,648;9,688;;;;;11,2;16,24;500;
00-00000419;Станция Топас 10 С 1400                                       со скидкой;шт.;1;189700;170730;Топас;;10;;С;1400;Топас;132790;24000;9500;14500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
