																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00000416	Станция Топас 9 П 1400 Ус                                      со скидкой	шт.	1	183 900	165 510	Топас		9		П	1 400	Топас	128 730	22 500	9 500	14 500		1,70	1,35	3,10	6	3,9	5,01	10,62					12,13	17,74	800	
00-00000417	Станция Топас 10 С 800                                       со скидкой	шт.	1	168 600	151 740	Топас		10		С	800	Топас	118 020	21 000	9 500	14 500		2,10	1,20	2,50	6	4,3	4,50	9,36					10,80	15,66	500	
00-00000418	Станция Топас 10 П 800                                       со скидкой	шт.	1	179 500	161 550	Топас		10		П	800	Топас	125 650	21 000	9 500	14 500		2,10	1,20	2,60	6	4,5	4,65	9,69					11,20	16,24	500	
00-00000419	Станция Топас 10 С 1400                                       со скидкой	шт.	1	189 700	170 730	Топас		10		С	1 400	Топас	132 790	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000420	Станция Топас 10 П 1400                                       со скидкой	шт.	1	210 900	189 810	Топас		10		П	1 400	Топас	147 630	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000421	Станция Топас 10 С 1400 Ус                                      со скидкой	шт.	1	218 700	196 830	Топас		10		С	1 400	Топас	153 090	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000422	Станция Топас 10 П 1400 Ус                                      со скидкой	шт.	1	230 100	207 090	Топас		10		П	1 400	Топас	161 070	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000423	Станция Топас 12 С 800                                       со скидкой	шт.	1	172 400	155 160	Топас		12		С	800	Топас	120 680	22 000	10 000	15 000		2,10	1,20	2,55	6	4,4	4,57	9,52					11,00	15,95	500	
00-00000424	Станция Топас 12 П 800                                       со скидкой	шт.	1	185 100	166 590	Топас		12		П	800	Топас	129 570	22 000	10 000	15 000		2,05	1,20	2,60	6	4,4	4,58	9,56					10,98	15,96	500	
00-00000425	Станция Топас 12 С 1400                                       со скидкой	шт.	1	193 500	174 150	Топас		12		С	1 400	Топас	135 450	25 000	10 000	15 000		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000426	Станция Топас 12 П 1400                                       со скидкой	шт.	1	212 500	191 250	Топас		12		П	1 400	Топас	148 750	25 000	10 000	15 000		2,00	1,20	3,10	6	4,1	5,23	11,04					12,67	18,48	800	
00-00000427	Станция Топас 12 С 1400 Ус                                      со скидкой	шт.	1	219 700	197 730	Топас		12		С	1 400	Топас	153 790	25 000	10 000	15 000		2,11	1,40	3,10	6	5	5,75	11,97					14,91	21,13	800	
00-00000428	Станция Топас 12 П 1400 Ус                                      со скидкой	шт.	1	231 700	208 530	Топас		12		П	1 400	Топас	162 190	25 000	10 000	15 000		2,00	1,40	3,10	6	4,8	5,58	11,65					14,26	20,33	800	
00-00000429	Станция Топас 15 С 800                                       со скидкой	шт.	1	200 600	180 540	Топас		15		С	800	Топас	140 420	24 000	10 500	15 500		2,10	1,20	2,50	6	4,3	4,50	9,36					10,80	15,66	500	
00-00000430	Станция Топас 15 П 800                                       со скидкой	шт.	1	225 600	203 040	Топас		15		П	800	Топас	157 920	24 000	10 500	15 500		2,10	1,20	2,60	6	4,5	4,65	9,69					11,20	16,24	500	
00-00000431	Станция Топас 15 С 1400                                       со скидкой	шт.	1	230 000	207 000	Топас		15		С	1 400	Топас	161 000	27 000	10 500	15 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000432	Станция Топас 15 П 1400                                       со скидкой	шт.	1	247 600	222 840	Топас		15		П	1 400	Топас	173 320	27 000	10 500	15 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000433	Станция Топас 15 С 1400 Ус                                      со скидкой	шт.	1	249 300	224 370	Топас		15		С	1 400	Топас	174 510	27 000	10 500	15 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00000434	Станция Топас 15 П 1400 Ус                                      со скидкой	шт.	1	267 700	240 930	Топас		15		П	1 400	Топас	187 390	27 000	10 500	15 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00001913	Станция Топас 30 С 800	шт.	1	335 800	335 800	Топас		30		С	800	Топас	235 060	34 000	13 000	18 000		2,30	2,20	3,10	8	11,6	7,48	15,00					23,17	30,69	500	
00-00001914	Станция Топас 30 П 1400	шт.	1	369 000	369 000	Топас		30		П	1 400	Топас	258 300	37 000	13 000	18 000		2,20	2,20	3,10	8	8,2	7,30	14,70					22,31	29,70	800	
00-00001915	Станция Топас 40 П 800	шт.	1	447 400	447 400	Топас		40		П	800	Топас	313 180	42 000	14 500	19 500		2,30	2,20	3,10	8	11,6	7,48	15,00					23,17	30,69	500	
00-00001916	Станция Топас-С 4 С 800                                        со скидкой	шт.	1	80 200	72 180	Топас-С		4		С	800	Топас	56 140	15 000	7 500	12 500		0,95	0,95	2,50	4	1,5	2,66	6,01					4,92	8,27	500	
00-00001917	Станция Топас-С 4 П 800                                        со скидкой	шт.	1	90 000	81 000	Топас-С		4		П	800	Топас	63 000	15 000	7 500	12 500		0,95	0,95	2,50	4	1,5	2,66	6,01					4,92	8,27	500	
00-00001918	Станция Топас-С 5 С 800                                        со скидкой	шт.	1	89 700	80 730	Топас-С		5		С	800	Топас	62 790	16 000	7 500	12 500		1,10	1,20	2,50	4	2,2	3,18	6,96					6,48	10,26	500	
